date,casos_acumulados,mortes_acumuladas,casos_novos,mortes_novas,casos_media_movel_7d,mortes_media_movel_7d,year_month
2020-02-25,0.0,0,0.0,0.0,0.0,0.0,2020-02
2020-02-26,1.0,0,1.0,0.0,0.0,0.0,2020-02
2020-02-27,1.0,0,0.0,0.0,0.0,0.0,2020-02
2020-02-28,1.0,0,0.0,0.0,0.0,0.0,2020-02
2020-02-29,2.0,0,1.0,0.0,0.0,0.0,2020-02
2020-03-01,2.0,0,0.0,0.0,0.0,0.0,2020-03
2020-03-02,2.0,0,0.0,0.0,0.0,0.0,2020-03
2020-03-03,2.0,0,0.0,0.0,0.0,0.0,2020-03
2020-03-04,3.0,0,1.0,0.0,0.0,0.0,2020-03
2020-03-05,7.0,0,4.0,0.0,1.0,0.0,2020-03
2020-03-06,13.0,0,6.0,0.0,2.0,0.0,2020-03
2020-03-07,19.0,0,6.0,0.0,2.0,0.0,2020-03
2020-03-08,25.0,0,6.0,0.0,3.0,0.0,2020-03
2020-03-09,25.0,0,0.0,0.0,3.0,0.0,2020-03
2020-03-10,34.0,0,9.0,0.0,5.0,0.0,2020-03
2020-03-11,52.0,0,18.0,0.0,7.0,0.0,2020-03
2020-03-12,77.0,0,25.0,0.0,10.0,0.0,2020-03
2020-03-13,98.0,0,21.0,0.0,12.0,0.0,2020-03
2020-03-14,121.0,0,23.0,0.0,15.0,0.0,2020-03
2020-03-15,200.0,0,79.0,0.0,25.0,0.0,2020-03
2020-03-16,234.0,0,34.0,0.0,30.0,0.0,2020-03
2020-03-17,291.0,1,57.0,1.0,37.0,0.14,2020-03
2020-03-18,428.0,4,137.0,3.0,54.0,0.57,2020-03
2020-03-19,621.0,6,193.0,2.0,78.0,0.86,2020-03
2020-03-20,904.0,11,283.0,5.0,115.0,1.57,2020-03
2020-03-21,1128.0,18,224.0,7.0,144.0,2.57,2020-03
2020-03-22,1546.0,25,418.0,7.0,192.0,3.57,2020-03
2020-03-23,1891.0,34,345.0,9.0,237.0,4.86,2020-03
2020-03-24,2201.0,46,310.0,12.0,273.0,6.43,2020-03
2020-03-25,2433.0,57,232.0,11.0,286.0,7.57,2020-03
2020-03-26,2915.0,77,482.0,20.0,328.0,10.14,2020-03
2020-03-27,3417.0,92,502.0,15.0,359.0,11.57,2020-03
2020-03-28,3903.0,114,486.0,22.0,396.0,13.71,2020-03
2020-03-29,4256.0,136,353.0,22.0,387.0,15.86,2020-03
2020-03-30,4579.0,159,323.0,23.0,384.0,17.86,2020-03
2020-03-31,5717.0,201,1138.0,42.0,502.0,22.14,2020-03
2020-04-01,6834.0,241,1117.0,40.0,629.0,26.29,2020-04
2020-04-02,7910.0,299,1076.0,58.0,714.0,31.71,2020-04
2020-04-03,9056.0,359,1146.0,60.0,806.0,38.14,2020-04
2020-04-04,10278.0,432,1222.0,73.0,911.0,45.43,2020-04
2020-04-05,11130.0,486,852.0,54.0,982.0,50.0,2020-04
2020-04-06,12056.0,553,926.0,67.0,1068.0,56.29,2020-04
2020-04-07,13717.0,667,1661.0,114.0,1143.0,66.57,2020-04
2020-04-08,15927.0,800,2210.0,133.0,1299.0,79.86,2020-04
2020-04-09,17857.0,941,1930.0,141.0,1421.0,91.71,2020-04
2020-04-10,19638.0,1056,1781.0,115.0,1512.0,99.57,2020-04
2020-04-11,20727.0,1124,1089.0,68.0,1493.0,98.86,2020-04
2020-04-12,22169.0,1223,1442.0,99.0,1577.0,105.29,2020-04
2020-04-13,23430.0,1328,1261.0,105.0,1625.0,110.71,2020-04
2020-04-14,25262.0,1532,1832.0,204.0,1649.0,123.57,2020-04
2020-04-15,28320.0,1736,3058.0,204.0,1770.0,133.71,2020-04
2020-04-16,30425.0,1924,2105.0,188.0,1795.0,140.43,2020-04
2020-04-17,33682.0,2141,3257.0,217.0,2006.0,155.0,2020-04
2020-04-18,36599.0,2347,2917.0,206.0,2267.0,174.71,2020-04
2020-04-19,38654.0,2462,2055.0,115.0,2355.0,177.0,2020-04
2020-04-20,40581.0,2575,1927.0,113.0,2450.0,178.14,2020-04
2020-04-21,43079.0,2741,2498.0,166.0,2545.0,172.71,2020-04
2020-04-22,45757.0,2906,2678.0,165.0,2491.0,167.14,2020-04
2020-04-23,49492.0,3313,3735.0,407.0,2724.0,198.43,2020-04
2020-04-24,52995.0,3670,3503.0,357.0,2759.0,218.43,2020-04
2020-04-25,58509.0,4016,5514.0,346.0,3130.0,238.43,2020-04
2020-04-26,61888.0,4205,3379.0,189.0,3319.0,249.0,2020-04
2020-04-27,66501.0,4543,4613.0,338.0,3703.0,281.14,2020-04
2020-04-28,71886.0,5017,5385.0,474.0,4115.0,325.14,2020-04
2020-04-29,78162.0,5466,6276.0,449.0,4629.0,365.71,2020-04
2020-04-30,85380.0,5901,7218.0,435.0,5127.0,369.71,2020-04
2020-05-01,91299.0,6329,5919.0,428.0,5472.0,379.86,2020-05
2020-05-02,96396.0,6724,5097.0,395.0,5412.0,386.86,2020-05
2020-05-03,101147.0,7025,4751.0,301.0,5608.0,402.86,2020-05
2020-05-04,107780.0,7321,6633.0,296.0,5897.0,396.86,2020-05
2020-05-05,114715.0,7921,6935.0,600.0,6118.0,414.86,2020-05
2020-05-06,125218.0,8535,10503.0,614.0,6722.0,438.43,2020-05
2020-05-07,135106.0,9146,9888.0,611.0,7104.0,463.57,2020-05
2020-05-08,145328.0,9895,10222.0,749.0,7718.0,509.43,2020-05
2020-05-09,155939.0,10627,10611.0,732.0,8506.0,557.57,2020-05
2020-05-10,162699.0,11123,6760.0,496.0,8793.0,585.43,2020-05
2020-05-11,168331.0,11519,5632.0,396.0,8650.0,599.71,2020-05
2020-05-12,177589.0,12400,9258.0,881.0,8982.0,639.86,2020-05
2020-05-13,188974.0,13149,11385.0,749.0,9108.0,659.14,2020-05
2020-05-14,202918.0,13993,13944.0,844.0,9687.0,692.43,2020-05
2020-05-15,218223.0,14817,15305.0,824.0,10414.0,703.14,2020-05
2020-05-16,233142.0,15633,14919.0,816.0,11029.0,715.14,2020-05
2020-05-17,241080.0,16118,7938.0,485.0,11197.0,713.57,2020-05
2020-05-18,254220.0,16792,13140.0,674.0,12270.0,753.29,2020-05
2020-05-19,271628.0,17971,17408.0,1179.0,13434.0,795.86,2020-05
2020-05-20,291579.0,18859,19951.0,888.0,14658.0,815.71,2020-05
2020-05-21,310087.0,20047,18508.0,1188.0,15310.0,864.86,2020-05
2020-05-22,330890.0,21046,20803.0,999.0,16095.0,889.86,2020-05
2020-05-23,347398.0,22013,16508.0,967.0,16322.0,911.43,2020-05
2020-05-24,363211.0,22666,15813.0,653.0,17447.0,935.43,2020-05
2020-05-25,374898.0,23473,11687.0,807.0,17240.0,954.43,2020-05
2020-05-26,391222.0,24512,16324.0,1039.0,17085.0,934.43,2020-05
2020-05-27,411821.0,25598,20599.0,1086.0,17177.0,962.71,2020-05
2020-05-28,438238.0,26754,26417.0,1156.0,18307.0,958.14,2020-05
2020-05-29,465166.0,27878,26928.0,1124.0,19182.0,976.0,2020-05
2020-05-30,498440.0,28834,33274.0,956.0,21577.0,974.43,2020-05
2020-05-31,514200.0,29314,15760.0,480.0,21570.0,949.71,2020-05
2020-06-01,526447.0,29937,12247.0,623.0,21650.0,923.43,2020-06
2020-06-02,555383.0,31199,28936.0,1262.0,23452.0,955.29,2020-06
2020-06-03,584016.0,32548,28633.0,1349.0,24599.0,992.86,2020-06
2020-06-04,614941.0,34021,30925.0,1473.0,25243.0,1038.14,2020-06
2020-06-05,645771.0,35026,30830.0,1005.0,25801.0,1021.14,2020-06
2020-06-06,672846.0,35930,27075.0,904.0,24915.0,1013.71,2020-06
2020-06-07,691758.0,36455,18912.0,525.0,25365.0,1020.14,2020-06
2020-06-08,707412.0,37134,15654.0,679.0,25852.0,1028.14,2020-06
2020-06-09,739503.0,38406,32091.0,1272.0,26303.0,1029.57,2020-06
2020-06-10,772416.0,39680,32913.0,1274.0,26914.0,1018.86,2020-06
2020-06-11,802828.0,40919,30412.0,1239.0,26841.0,985.43,2020-06
2020-06-12,828810.0,41828,25982.0,909.0,26148.0,971.71,2020-06
2020-06-13,850514.0,42720,21704.0,892.0,25381.0,970.0,2020-06
2020-06-14,867624.0,43332,17110.0,612.0,25124.0,982.43,2020-06
2020-06-15,888271.0,43959,20647.0,627.0,25837.0,975.0,2020-06
2020-06-16,923189.0,45241,34918.0,1282.0,26241.0,976.43,2020-06
2020-06-17,955377.0,46510,32188.0,1269.0,26137.0,975.71,2020-06
2020-06-18,978142.0,47748,22765.0,1238.0,25045.0,975.57,2020-06
