state,region,total_casos,total_mortes,primeiro_casos,ultimo_registro,taxa_mortalidadea_estado
AC,Norte,81413.0,1635,2020-02-25,2021-05-23,2.01
AL,Nordeste,188958.0,4607,2020-02-25,2021-05-23,2.44
AM,Norte,382487.0,12920,2020-02-25,2021-05-23,3.38
AP,Norte,110403.0,1657,2020-02-25,2021-05-23,1.5
BA,Nordeste,983587.0,20428,2020-02-25,2021-05-23,2.08
CE,Nordeste,770432.0,19815,2020-02-25,2021-05-23,2.57
DF,Centro-Oeste,398450.0,8466,2020-02-25,2021-05-23,2.12
ES,Sudeste,470020.0,10512,2020-02-25,2021-05-23,2.24
GO,Centro-Oeste,595328.0,16559,2020-02-25,2021-05-23,2.78
MA,Nordeste,284301.0,7896,2020-02-25,2021-05-23,2.78
MG,Sudeste,1516282.0,39086,2020-02-25,2021-05-23,2.58
MS,Centro-Oeste,276877.0,6461,2020-02-25,2021-05-23,2.33
MT,Centro-Oeste,391567.0,10501,2020-02-25,2021-05-23,2.68
PA,Norte,508448.0,14233,2020-02-25,2021-05-23,2.8
PB,Nordeste,316897.0,7420,2020-02-25,2021-05-23,2.34
PE,Nordeste,462368.0,15365,2020-02-25,2021-05-23,3.32
PI,Nordeste,265216.0,5762,2020-02-25,2021-05-23,2.17
PR,Sul,1060683.0,25506,2020-02-25,2021-05-23,2.4
RJ,Sudeste,840480.0,49515,2020-02-25,2021-05-23,5.89
RN,Nordeste,257422.0,5978,2020-02-25,2021-05-23,2.32
RO,Norte,225349.0,5611,2020-02-25,2021-05-23,2.49
RR,Norte,102019.0,1602,2020-02-25,2021-05-23,1.57
RS,Sul,1059990.0,27419,2020-02-25,2021-05-23,2.59
SC,Sul,947810.0,14822,2020-02-25,2021-05-23,1.56
SE,Nordeste,225257.0,4902,2020-02-25,2021-05-23,2.18
SP,Sudeste,3188105.0,107614,2020-02-25,2021-05-23,3.38
TO,Norte,173109.0,2776,2020-02-25,2021-05-23,1.6
