code,name,state,total_casos,total_mortes,primeirocaso,ultimoregistro,taxa_mortalidade_cidade,population,mortes_por_100k,casos_por_100k
110001.0,Alta Floresta D'Oeste,RO,503444.0,6895,2020-03-27,2021-05-23,1.37,22945.0,30050.12,2194133.8
110002.0,Ariquemes,RO,2916457.0,54523,2020-03-27,2021-05-23,1.87,107863.0,50548.38,2703853.04
110003.0,Cabixi,RO,87971.0,2402,2020-03-27,2021-05-23,2.73,,,
110004.0,Cacoal,RO,1606371.0,24866,2020-03-27,2021-05-23,1.55,85359.0,29131.08,1881899.98
110005.0,Cerejeiras,RO,227608.0,4896,2020-03-27,2021-05-23,2.15,,,
110006.0,Colorado do Oeste,RO,194162.0,2501,2020-03-27,2021-05-23,1.29,,,
110007.0,Corumbiara,RO,66549.0,1723,2020-03-27,2021-05-23,2.59,,,
110008.0,Costa Marques,RO,159173.0,2987,2020-03-27,2021-05-23,1.88,,,
110009.0,Espigão D'Oeste,RO,337839.0,6140,2020-03-27,2021-05-23,1.82,32374.0,18965.84,1043550.38
110010.0,Guajará-Mirim,RO,1213304.0,38301,2020-03-27,2021-05-23,3.16,46174.0,82949.28,2627677.91
110011.0,Jaru,RO,1022087.0,16772,2020-03-27,2021-05-23,1.64,51775.0,32394.01,1974093.67
110012.0,Ji-Paraná,RO,2065831.0,53131,2020-03-27,2021-05-23,2.57,128969.0,41196.72,1601804.31
110013.0,Machadinho D'Oeste,RO,782304.0,7438,2020-03-27,2021-05-23,0.95,39991.0,18599.18,1956200.15
110014.0,Nova Brasilândia D'Oeste,RO,215289.0,2479,2020-03-27,2021-05-23,1.15,20474.0,12108.04,1051523.88
110015.0,Ouro Preto do Oeste,RO,580202.0,14153,2020-03-27,2021-05-23,2.44,36035.0,39275.7,1610106.84
110018.0,Pimenta Bueno,RO,588186.0,7971,2020-03-27,2021-05-23,1.36,36660.0,21743.04,1604435.35
110020.0,Porto Velho,RO,14355687.0,361657,2020-03-27,2021-05-23,2.52,529544.0,68295.93,2710952.63
110025.0,Presidente Médici,RO,347187.0,6420,2020-03-27,2021-05-23,1.85,,,
110026.0,Rio Crespo,RO,74927.0,613,2020-03-27,2021-05-23,0.82,,,
110028.0,Rolim de Moura,RO,892701.0,14984,2020-03-27,2021-05-23,1.68,55058.0,27214.94,1621382.91
110029.0,Santa Luzia D'Oeste,RO,108907.0,1037,2020-03-27,2021-05-23,0.95,,,
110030.0,Vilhena,RO,1845628.0,30830,2020-03-27,2021-05-23,1.67,99854.0,30875.08,1848326.56
110032.0,São Miguel do Guaporé,RO,401439.0,6927,2020-03-27,2021-05-23,1.73,,,
110033.0,Nova Mamoré,RO,513803.0,6689,2020-03-27,2021-05-23,1.3,,,
110034.0,Alvorada D'Oeste,RO,109969.0,3166,2020-03-27,2021-05-23,2.88,14411.0,21969.33,763090.69
110037.0,Alto Alegre dos Parecis,RO,143740.0,3969,2020-03-27,2021-05-23,2.76,13241.0,29975.08,1085567.56
110040.0,Alto Paraíso,RO,216843.0,4452,2020-03-27,2021-05-23,2.05,21428.0,20776.55,1011960.99
110045.0,Buritis,RO,581280.0,7120,2020-03-27,2021-05-23,1.22,39654.0,17955.31,1465879.86
110050.0,Novo Horizonte do Oeste,RO,60182.0,1864,2020-03-27,2021-05-23,3.1,8538.0,21831.81,704872.34
110060.0,Cacaulândia,RO,78884.0,788,2020-03-27,2021-05-23,1.0,,,
110070.0,Campo Novo de Rondônia,RO,136924.0,3098,2020-03-27,2021-05-23,2.26,14139.0,21911.03,968413.61
110080.0,Candeias do Jamari,RO,655831.0,12359,2020-03-27,2021-05-23,1.88,26693.0,46300.53,2456940.02
110090.0,Castanheiras,RO,36681.0,852,2020-03-27,2021-05-23,2.32,,,
110092.0,Chupinguaia,RO,262967.0,2627,2020-03-27,2021-05-23,1.0,,,
110094.0,Cujubim,RO,230121.0,4269,2020-03-27,2021-05-23,1.86,25215.0,16930.4,912635.34
110100.0,Governador Jorge Teixeira,RO,67346.0,1135,2020-03-27,2021-05-23,1.69,7767.0,14613.11,867078.67
110110.0,Itapuã do Oeste,RO,209316.0,3191,2020-03-27,2021-05-23,1.52,10458.0,30512.53,2001491.68
110120.0,Ministro Andreazza,RO,53277.0,1459,2020-03-27,2021-05-23,2.74,,,
110130.0,Mirante da Serra,RO,102339.0,1281,2020-03-27,2021-05-23,1.25,10947.0,11701.84,934858.87
110140.0,Monte Negro,RO,175824.0,2792,2020-03-27,2021-05-23,1.59,,,
110143.0,Nova União,RO,116575.0,1423,2020-03-27,2021-05-23,1.22,,,
110145.0,Parecis,RO,28143.0,823,2020-03-27,2021-05-23,2.92,,,
110146.0,Pimenteiras do Oeste,RO,76625.0,2261,2020-03-27,2021-05-23,2.95,,,
110147.0,Primavera de Rondônia,RO,19525.0,713,2020-03-27,2021-05-23,3.65,2856.0,24964.99,683648.46
110148.0,São Felipe D'Oeste,RO,49174.0,791,2020-03-27,2021-05-23,1.61,5172.0,15293.89,950773.4
110149.0,São Francisco do Guaporé,RO,215429.0,3989,2020-03-27,2021-05-23,1.85,,,
110150.0,Seringueiras,RO,132698.0,852,2020-03-27,2021-05-23,0.64,,,
110155.0,Teixeirópolis,RO,52898.0,744,2020-03-27,2021-05-23,1.41,,,
110160.0,Theobroma,RO,74326.0,1678,2020-03-27,2021-05-23,2.26,10444.0,16066.64,711662.2
110170.0,Urupá,RO,145014.0,2660,2020-03-27,2021-05-23,1.83,11467.0,23197.0,1264620.21
110175.0,Vale do Anari,RO,115972.0,1346,2020-03-27,2021-05-23,1.16,11204.0,12013.57,1035094.61
110180.0,Vale do Paraíso,RO,94506.0,3034,2020-03-27,2021-05-23,3.21,,,
120001.0,Acrelândia,AC,236675.0,4550,2020-03-27,2021-05-23,1.92,15256.0,29824.33,1551356.84
120005.0,Assis Brasil,AC,275865.0,3801,2020-03-27,2021-05-23,1.38,7417.0,51247.13,3719360.93
120010.0,Brasiléia,AC,483323.0,7300,2020-03-27,2021-05-23,1.51,26278.0,27779.89,1839268.59
120013.0,Bujari,AC,186298.0,2683,2020-03-27,2021-05-23,1.44,10266.0,26134.81,1814708.75
120017.0,Capixaba,AC,109343.0,3043,2020-03-27,2021-05-23,2.78,11733.0,25935.4,931927.04
120020.0,Cruzeiro do Sul,AC,1521073.0,27619,2020-03-27,2021-05-23,1.82,88376.0,31251.7,1721138.09
120025.0,Epitaciolândia,AC,236300.0,5659,2020-03-27,2021-05-23,2.39,18411.0,30737.06,1283471.84
120030.0,Feijó,AC,525066.0,9085,2020-03-27,2021-05-23,1.73,34780.0,26121.33,1509677.98
120032.0,Jordão,AC,78490.0,316,2020-03-27,2021-05-23,0.4,,,
120033.0,Mâncio Lima,AC,409046.0,4847,2020-03-27,2021-05-23,1.18,18977.0,25541.44,2155482.95
120034.0,Manoel Urbano,AC,153290.0,1251,2020-03-27,2021-05-23,0.82,,,
120035.0,Marechal Thaumaturgo,AC,223735.0,1539,2020-03-27,2021-05-23,0.69,,,
120038.0,Plácido de Castro,AC,250170.0,3447,2020-03-27,2021-05-23,1.38,19761.0,17443.45,1265978.44
120039.0,Porto Walter,AC,111034.0,633,2020-03-27,2021-05-23,0.57,,,
120040.0,Rio Branco,AC,6401241.0,183731,2020-03-27,2021-05-23,2.87,407319.0,45107.4,1571554.73
120042.0,Rodrigues Alves,AC,105409.0,2480,2020-03-27,2021-05-23,2.35,,,
120043.0,Santa Rosa do Purus,AC,141034.0,937,2020-03-27,2021-05-23,0.66,6540.0,14327.22,2156483.18
120045.0,Senador Guiomard,AC,223023.0,5832,2020-03-27,2021-05-23,2.61,23024.0,25330.09,968654.45
120050.0,Sena Madureira,AC,893477.0,7114,2020-03-27,2021-05-23,0.8,45848.0,15516.49,1948780.75
120060.0,Tarauacá,AC,1064359.0,5547,2020-03-27,2021-05-23,0.52,42567.0,13031.22,2500432.26
120070.0,Xapuri,AC,567478.0,4835,2020-03-27,2021-05-23,0.85,19323.0,25021.99,2936800.7
120080.0,Porto Acre,AC,242256.0,6477,2020-03-27,2021-05-23,2.67,18504.0,35003.24,1309208.82
130002.0,Alvarães,AM,579273.0,8235,2020-03-27,2021-05-23,1.42,16041.0,51337.2,3611202.54
130006.0,Amaturá,AM,414185.0,4142,2020-03-27,2021-05-23,1.0,11536.0,35904.99,3590369.28
130008.0,Anamã,AM,366852.0,823,2020-03-27,2021-05-23,0.22,13614.0,6045.25,2694667.25
130010.0,Anori,AM,426624.0,6514,2020-03-27,2021-05-23,1.53,21010.0,31004.28,2030575.92
130014.0,Apuí,AM,179269.0,3026,2020-03-27,2021-05-23,1.69,21973.0,13771.45,815860.37
130020.0,Atalaia do Norte,AM,546394.0,1725,2020-03-27,2021-05-23,0.32,19921.0,8659.2,2742804.08
130030.0,Autazes,AM,619758.0,18406,2020-03-27,2021-05-23,2.97,,,
130040.0,Barcelos,AM,1035496.0,12431,2020-03-27,2021-05-23,1.2,,,
130050.0,Barreirinha,AM,501928.0,10246,2020-03-27,2021-05-23,2.04,32041.0,31977.78,1566517.9
130060.0,Benjamin Constant,AM,683337.0,17636,2020-03-27,2021-05-23,2.58,42984.0,41029.22,1589747.35
130063.0,Beruri,AM,427150.0,6015,2020-03-27,2021-05-23,1.41,19679.0,30565.58,2170587.94
130068.0,Boa Vista do Ramos,AM,187950.0,2188,2020-03-27,2021-05-23,1.16,19207.0,11391.68,978549.49
130070.0,Boca do Acre,AM,588504.0,5584,2020-03-27,2021-05-23,0.95,34308.0,16276.09,1715355.02
130080.0,Borba,AM,354889.0,11018,2020-03-27,2021-05-23,3.1,41161.0,26768.06,862197.23
130083.0,Caapiranga,AM,136387.0,3917,2020-03-27,2021-05-23,2.87,13081.0,29944.19,1042634.36
130090.0,Canutama,AM,238872.0,1456,2020-03-27,2021-05-23,0.61,15629.0,9316.02,1528389.53
130100.0,Carauari,AM,1210095.0,8604,2020-03-27,2021-05-23,0.71,28294.0,30409.27,4276860.82
130110.0,Careiro,AM,872332.0,13695,2020-03-27,2021-05-23,1.57,,,
130115.0,Careiro da Várzea,AM,159159.0,3081,2020-03-27,2021-05-23,1.94,,,
130120.0,Coari,AM,2715500.0,49957,2020-03-27,2021-05-23,1.84,85097.0,58705.95,3191064.31
130130.0,Codajás,AM,247385.0,3427,2020-03-27,2021-05-23,1.39,28637.0,11967.04,863864.93
130140.0,Eirunepé,AM,903195.0,4396,2020-03-27,2021-05-23,0.49,35273.0,12462.79,2560584.58
