date,casos_diarios,mortes_diarios,casos_media_movel_7d,mortes_media_movel_7d,casos_acumulados,mortes_acumulados
2020-02-25,0.0,0,0.0,0.0,0.0,0
2020-02-26,1.0,0,0.0,0.0,1.0,0
2020-02-27,1.0,0,1.0,0.0,2.0,0
2020-02-28,1.0,0,1.0,0.0,3.0,0
2020-02-29,2.0,0,1.0,0.0,5.0,0
2020-03-01,2.0,0,1.0,0.0,7.0,0
2020-03-02,2.0,0,1.0,0.0,9.0,0
2020-03-03,2.0,0,2.0,0.0,11.0,0
2020-03-04,3.0,0,2.0,0.0,14.0,0
2020-03-05,7.0,0,3.0,0.0,21.0,0
2020-03-06,13.0,0,4.0,0.0,34.0,0
2020-03-07,19.0,0,7.0,0.0,53.0,0
2020-03-08,25.0,0,10.0,0.0,78.0,0
2020-03-09,25.0,0,13.0,0.0,103.0,0
2020-03-10,34.0,0,18.0,0.0,137.0,0
2020-03-11,52.0,0,25.0,0.0,189.0,0
2020-03-12,77.0,0,35.0,0.0,266.0,0
2020-03-13,98.0,0,47.0,0.0,364.0,0
2020-03-14,121.0,0,62.0,0.0,485.0,0
2020-03-15,200.0,0,87.0,0.0,685.0,0
2020-03-16,234.0,0,117.0,0.0,919.0,0
2020-03-17,291.0,1,153.0,0.14,1210.0,1
2020-03-18,428.0,4,207.0,0.71,1638.0,5
2020-03-19,621.0,6,285.0,1.57,2259.0,11
2020-03-20,904.0,11,400.0,3.14,3163.0,22
2020-03-21,1128.0,18,544.0,5.71,4291.0,40
2020-03-22,1546.0,25,736.0,9.29,5837.0,65
2020-03-23,1891.0,34,973.0,14.14,7728.0,99
2020-03-24,2201.0,46,1246.0,20.57,9929.0,145
2020-03-25,2433.0,57,1532.0,28.14,12362.0,202
2020-03-26,2915.0,77,1860.0,38.29,15277.0,279
2020-03-27,3417.0,92,2219.0,49.86,18694.0,371
2020-03-28,3903.0,114,2615.0,63.57,22597.0,485
2020-03-29,4256.0,136,3002.0,79.43,26853.0,621
2020-03-30,4579.0,159,3386.0,97.29,31432.0,780
2020-03-31,5717.0,201,3889.0,119.43,37149.0,981
2020-04-01,6834.0,241,4517.0,145.71,43983.0,1222
2020-04-02,7910.0,299,5231.0,177.43,51893.0,1521
2020-04-03,9056.0,359,6036.0,215.57,60949.0,1880
2020-04-04,10278.0,432,6947.0,261.0,71227.0,2312
2020-04-05,11130.0,486,7929.0,311.0,82357.0,2798
2020-04-06,12056.0,553,8997.0,367.29,94413.0,3351
2020-04-07,13717.0,667,10140.0,433.86,108130.0,4018
2020-04-08,15927.0,800,11439.0,513.71,124057.0,4818
2020-04-09,17857.0,941,12860.0,605.43,141914.0,5759
2020-04-10,19638.0,1056,14372.0,705.0,161552.0,6815
2020-04-11,20727.0,1124,15865.0,803.86,182279.0,7939
2020-04-12,22169.0,1223,17442.0,909.14,204448.0,9162
2020-04-13,23430.0,1328,19066.0,1019.86,227878.0,10490
2020-04-14,25262.0,1532,20716.0,1143.43,253140.0,12022
2020-04-15,28320.0,1736,22486.0,1277.14,281460.0,13758
2020-04-16,30425.0,1924,24282.0,1417.57,311885.0,15682
2020-04-17,33682.0,2141,26288.0,1572.57,345567.0,17823
2020-04-18,36599.0,2347,28555.0,1747.29,382166.0,20170
2020-04-19,38654.0,2462,30910.0,1924.29,420820.0,22632
2020-04-20,40581.0,2575,33360.0,2102.43,461401.0,25207
2020-04-21,43079.0,2741,35906.0,2275.14,504480.0,27948
2020-04-22,45757.0,2906,38397.0,2442.29,550237.0,30854
2020-04-23,49492.0,3313,41121.0,2640.71,599729.0,34167
2020-04-24,52995.0,3670,43880.0,2859.14,652724.0,37837
2020-04-25,58509.0,4016,47010.0,3097.57,711233.0,41853
2020-04-26,61888.0,4205,50329.0,3346.57,773121.0,46058
2020-04-27,66501.0,4543,54032.0,3627.71,839622.0,50601
2020-04-28,71886.0,5017,58147.0,3952.86,911508.0,55618
2020-04-29,78162.0,5466,62776.0,4318.57,989670.0,61084
2020-04-30,85380.0,5901,67903.0,4688.29,1075050.0,66985
2020-05-01,91299.0,6329,73375.0,5068.14,1166349.0,73314
2020-05-02,96396.0,6724,78787.0,5455.0,1262745.0,80038
2020-05-03,101147.0,7025,84396.0,5857.86,1363892.0,87063
2020-05-04,107780.0,7321,90293.0,6254.71,1471672.0,94384
2020-05-05,114715.0,7921,96411.0,6669.57,1586387.0,102305
2020-05-06,125218.0,8535,103134.0,7108.0,1711605.0,110840
2020-05-07,135106.0,9146,110237.0,7571.57,1846711.0,119986
2020-05-08,145328.0,9895,117956.0,8081.0,1992039.0,129881
2020-05-09,155939.0,10627,126462.0,8638.57,2147978.0,140508
2020-05-10,162699.0,11123,135255.0,9224.0,2310677.0,151631
2020-05-11,168331.0,11519,143905.0,9823.71,2479008.0,163150
2020-05-12,177589.0,12400,152887.0,10463.57,2656597.0,175550
2020-05-13,188974.0,13149,161995.0,11122.71,2845571.0,188699
2020-05-14,202918.0,13993,171683.0,11815.14,3048489.0,202692
2020-05-15,218223.0,14817,182096.0,12518.29,3266712.0,217509
2020-05-16,233142.0,15633,193125.0,13233.43,3499854.0,233142
2020-05-17,241080.0,16118,204322.0,13947.0,3740934.0,249260
2020-05-18,254220.0,16792,216592.0,14700.29,3995154.0,266052
